Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,L,M,temp_diff,TorqueSpeed,Torque_per_rpm,Air temperature [K]_zscore_abs,Process temperature [K]_zscore_abs,Rotational speed [rpm]_zscore_abs,Torque [Nm]_zscore_abs,Tool wear [min]_zscore_abs,Tool_wear_bin,TempDiff_x_ToolWear,anomaly_score,anomaly_flag
M,300.1,309.4,1349,56.2,127,0,0,0,0,0,0,False,True,9.299999999999955,75813.8,0.04166048925129726,0.0475288525251692,0.4081323944475586,1.058521666587658,1.6263614991759014,0.2992578018277449,med,1181.0999999999942,0.12620329368676586,0
L,300.1,309.3,1340,56.0,130,0,0,0,0,0,0,True,False,9.199999999999989,75040.0,0.041791044776119404,0.0475288525251692,0.47552990987912647,1.1087213229157675,1.6062991730039513,0.34638748871331554,med,1195.9999999999986,0.1209202937290923,0
M,299.9,309.2,1539,43.2,132,0,0,0,0,0,0,False,True,9.300000000000011,66484.8,0.028070175438596492,0.05245821495178351,0.5429274253107327,0.001248855894651286,0.3223102979991543,0.3778072799703626,med,1227.6000000000015,0.21025339131560705,0
M,300.0,309.3,1932,21.8,135,0,0,0,0,0,0,False,True,9.300000000000011,42117.6,0.011283643892339545,0.0024646812133071517,0.47552990987912647,2.193300515555428,1.8243586023994915,0.42493696685593324,med,1255.5000000000016,0.09616792751733894,0
M,300.0,309.3,1407,43.9,138,0,0,0,0,0,0,False,True,9.300000000000011,61767.299999999996,0.031201137171286423,0.0024646812133071517,0.47552990987912647,0.7350127702509531,0.3925284396009787,0.4720666537415038,med,1283.4000000000015,0.2129782207198186,0
L,300.1,309.3,1712,28.5,141,0,0,0,0,0,0,True,False,9.199999999999989,48792.0,0.01664719626168224,0.0475288525251692,0.47552990987912647,0.966197805312754,1.1522706756391679,0.5191963406270744,high,1297.1999999999985,0.16714199149958847,0
H,300.1,309.4,1329,55.2,143,0,0,0,0,0,0,False,False,9.299999999999955,73360.8,0.04153498871331829,0.0475288525251692,0.4081323944475586,1.170076458427901,1.5260498683161519,0.5506161318841215,high,1329.8999999999935,0.12769836027705828,0
L,300.1,309.2,1441,42.9,148,0,0,0,0,0,0,True,False,9.099999999999966,61818.9,0.029770992366412213,0.0475288525251692,0.5429274253107327,0.5453696241225399,0.2922168087412289,0.6291656100267392,high,1346.799999999995,0.2061653347311893,0
L,300.0,309.2,1610,32.1,150,0,0,0,0,0,0,True,False,9.199999999999989,51681.0,0.019937888198757765,0.0024646812133071517,0.5429274253107327,0.39726836692751427,0.7911488045440686,0.6605854012837863,high,1379.9999999999982,0.1945808414737451,0
M,300.0,309.1,1474,45.2,152,0,0,0,0,0,0,False,True,9.100000000000023,66624.8,0.030664857530529173,0.0024646812133071517,0.6103249407423005,0.3613042175861388,0.5229335597186539,0.6920051925408334,high,1383.2000000000035,0.19448657139843722,0
M,300.0,309.1,1624,30.8,155,0,0,0,0,0,0,False,True,9.100000000000023,50019.200000000004,0.01896551724137931,0.0024646812133071517,0.6103249407423005,0.47535672121568445,0.9215539246617434,0.739134879426404,high,1410.5000000000036,0.18218790979153537,0
H,300.1,309.3,1520,38.2,158,0,0,0,0,0,0,False,False,9.199999999999989,58064.00000000001,0.02513157894736842,0.0475288525251692,0.47552990987912647,0.10472819635357965,0.17924785629959467,0.7862645663119745,high,1453.599999999998,0.21150090926518333,0
H,300.1,309.3,1448,45.8,163,0,0,0,0,0,0,False,False,9.199999999999989,66318.4,0.031629834254143646,0.0475288525251692,0.47552990987912647,0.5063254469784548,0.5831205382345032,0.8648140444545922,high,1499.599999999998,0.19924113949592442,0
L,300.0,309.3,1558,29.7,168,0,0,0,0,0,0,True,False,9.300000000000011,46272.6,0.01906290115532734,0.0024646812133071517,0.47552990987912647,0.10722590814288223,1.0318967186074683,0.9433635225972099,high,1562.400000000002,0.16897710289600332,0
M,300.0,309.3,2293,16.3,170,0,0,0,0,0,0,False,True,9.300000000000011,37375.9,0.007108591365023987,0.0024646812133071517,0.47552990987912647,4.206864508271816,2.3760725721281153,0.974783313854257,high,1581.0000000000018,-0.00835131809332379,1
L,300.0,309.3,1397,51.2,173,0,0,0,0,0,0,True,False,9.300000000000011,71526.40000000001,0.03664996420901933,0.0024646812133071517,0.47552990987912647,0.7907901661710747,1.1248033448771526,1.0219130007398276,high,1608.900000000002,0.1653071175695569,0
L,300.0,309.3,1972,22.0,175,0,0,0,0,0,0,True,False,9.300000000000011,43384.0,0.011156186612576065,0.0024646812133071517,0.47552990987912647,2.416410099235914,1.8042962762275416,1.0533327919968747,high,1627.500000000002,0.08320795012988857,0
M,299.9,309.2,1574,36.5,177,0,0,0,0,0,0,False,True,9.300000000000011,57451.0,0.02318932655654384,0.05245821495178351,0.5429274253107327,0.1964697416150767,0.3497776287611696,1.0847525832539218,high,1646.100000000002,0.19648689190669588,0
L,299.9,309.2,1560,38.9,180,0,0,0,0,0,0,True,False,9.300000000000011,60684.0,0.024935897435897435,0.05245821495178351,0.5429274253107327,0.11838138732690653,0.10902971469777024,1.1318822701394924,high,1674.000000000002,0.1969550029888522,0
M,299.9,309.2,1353,49.8,182,0,0,0,0,0,0,False,True,9.300000000000011,67379.4,0.03680709534368071,0.05245821495178351,0.5429274253107327,1.0362107082196095,0.9843670616735023,1.1633020613965395,high,1692.6000000000022,0.16092048374310175,0
M,299.9,309.2,1389,51.2,185,0,0,0,0,0,0,False,True,9.300000000000011,71116.8,0.03686105111591073,0.05245821495178351,0.5429274253107327,0.835412082907172,1.1248033448771526,1.21043174828211,high,1720.500000000002,0.16089116793699282,0
M,299.9,309.1,1513,43.8,188,0,0,0,0,0,0,False,True,9.200000000000045,66269.4,0.02894910773298083,0.05245821495178351,0.6103249407423005,0.14377237349766472,0.3824972765150036,1.2575614351676807,high,1729.6000000000085,0.19013392450337951,0
L,299.8,309.1,1578,42.1,191,0,0,0,0,0,0,True,False,9.300000000000011,66433.8,0.026679340937896073,0.10245174869023145,0.6103249407423005,0.21878069998312533,0.21196750405342937,1.3046911220532513,high,1776.3000000000022,0.17899623278284138,0
H,299.8,309.0,1467,37.3,193,0,0,0,0,0,0,False,False,9.199999999999989,54719.1,0.02542603953646898,0.10245174869023145,0.6777224561739067,0.4003483947302238,0.2695283240733701,1.3361109133102982,high,1775.5999999999979,0.1927919795281291,0
L,299.9,309.1,1412,48.3,198,0,0,0,0,0,0,True,False,9.200000000000045,68199.59999999999,0.03420679886685552,0.05245821495178351,0.6103249407423005,0.7071240722908924,0.8338996153838777,1.4146603914529159,high,1821.600000000009,0.17511371401886638,0
L,299.8,309.1,1668,30.3,200,0,0,0,0,0,0,True,False,9.300000000000011,50540.4,0.01816546762589928,0.10245174869023145,0.6103249407423005,0.7207772632642192,0.9717097400916183,1.446080182709963,high,1860.0000000000023,0.1682591313211117,0
M,299.8,309.2,1678,29.8,202,0,0,0,0,0,0,False,True,9.399999999999977,50004.4,0.017759237187127533,0.10245174869023145,0.5429274253107327,0.7765546591843407,1.021865555521493,1.47749997396701,high,1898.7999999999954,0.1653342008047466,0
L,299.8,309.1,1612,35.4,205,0,0,0,0,0,0,True,False,9.300000000000011,57064.799999999996,0.02196029776674938,0.10245174869023145,0.6103249407423005,0.4084238461115386,0.4601204227068945,1.5246296608525807,high,1906.5000000000023,0.17943714131887994,0
L,299.8,309.1,1485,39.9,207,0,0,0,0,0,0,True,False,9.300000000000011,59251.5,0.026868686868686868,0.10245174869023145,0.6103249407423005,0.29994908207400506,0.008718083838020458,1.5560494521096278,high,1925.1000000000024,0.19014291366118286,0
M,299.8,309.1,1456,39.4,209,0,0,0,0,0,0,False,True,9.300000000000011,57366.4,0.027060439560439558,0.10245174869023145,0.6103249407423005,0.46170353024235755,0.05887389926789535,1.5874692433666748,high,1943.7000000000023,0.19006676387346094,0
L,299.8,309.2,1504,38.7,212,0,0,0,0,0,0,True,False,9.399999999999977,58204.8,0.025731382978723405,0.10245174869023145,0.5429274253107327,0.19397202982577413,0.1290920408697198,1.6345989302522455,high,1992.7999999999952,0.1912088715317682,0
L,299.9,309.2,1491,44.3,214,0,0,0,0,0,0,True,False,9.300000000000011,66051.3,0.02971160295103957,0.05245821495178351,0.5429274253107327,0.26648264452193215,0.4326530919448785,1.6660187215092925,high,1990.2000000000025,0.18318276938310962,0
H,299.9,309.2,1525,33.2,0,0,0,0,0,0,0,False,False,9.300000000000011,50630.00000000001,0.02177049180327869,0.05245821495178351,0.5429274253107327,0.07683949839351888,0.6808060105983437,1.6958989429947442,low,0.0,0.15984924622808833,0
L,300.0,309.2,1759,27.9,5,0,0,0,0,0,0,True,False,9.199999999999989,49076.1,0.015861284820920977,0.0024646812133071517,0.5429274253107327,1.2283515661373252,1.212457654155018,1.6173494648521265,low,45.99999999999994,0.12925056589505274,0
M,299.8,309.1,1355,56.7,7,0,0,0,0,0,0,False,True,9.300000000000011,76828.5,0.041845018450184505,0.10245174869023145,0.6103249407423005,1.0250552290355852,1.6765173146057764,1.5859296735950794,low,65.10000000000008,0.09121118672852557,0
M,299.9,309.1,1345,56.8,10,0,0,0,0,0,0,False,True,9.200000000000045,76396.0,0.04223048327137546,0.05245821495178351,0.6103249407423005,1.0808326249557068,1.6865484776917508,1.5387999867095088,low,92.00000000000045,0.090909499310037,0
M,299.9,309.2,1683,30.5,13,0,0,0,0,0,0,False,True,9.300000000000011,51331.5,0.018122400475341652,0.05245821495178351,0.5429274253107327,0.8044433571444015,0.9516474139196683,1.4916702998239382,low,120.90000000000015,0.1578943943592449,0
L,299.9,309.2,1658,34.8,16,0,0,0,0,0,0,True,False,9.300000000000011,57698.399999999994,0.020989143546441495,0.05245821495178351,0.5429274253107327,0.6649998673440977,0.5203074012227445,1.4445406129383676,low,148.80000000000018,0.1761521222356855,0
L,300.0,309.2,1566,34.4,18,0,0,0,0,0,0,True,False,9.199999999999989,53870.399999999994,0.021966794380587483,0.0024646812133071517,0.5429274253107327,0.15184782487897946,0.5604320535666443,1.4131208216813205,low,165.5999999999998,0.1949506248099488,0
M,300.1,309.3,1469,43.9,20,0,0,0,0,0,0,False,True,9.199999999999989,64489.1,0.029884275017018378,0.0475288525251692,0.47552990987912647,0.38919291554619956,0.3925284396009787,1.3817010304242734,low,183.99999999999977,0.20485448219509306,0
M,300.2,309.5,1458,46.9,23,0,0,0,0,0,0,False,True,9.300000000000011,68380.2,0.032167352537722904,0.09752238626361714,0.34073487901595245,0.45054805105833323,0.693463332180228,1.3345713435387028,low,213.90000000000026,0.19701634932986567,0
L,300.1,309.4,1858,23.6,26,0,0,0,0,0,0,True,False,9.299999999999955,43848.8,0.012701829924650162,0.0475288525251692,0.4081323944475586,1.7805477857465286,1.6437976668519418,1.2874416566531321,low,241.79999999999882,0.10351654155952872,0
H,300.1,309.4,1563,40.8,28,0,0,0,0,0,0,False,False,9.299999999999955,63770.399999999994,0.026103646833013434,0.0475288525251692,0.4081323944475586,0.13511460610294299,0.08156238393575421,1.256021865396085,low,260.3999999999987,0.20448396717827394,0
L,300.1,309.4,2141,17.9,33,0,0,0,0,0,0,True,False,9.299999999999955,38323.899999999994,0.008360579168612797,0.0475288525251692,0.4081323944475586,3.3590480902859685,2.215573962752516,1.1774723872534674,low,306.8999999999985,0.007102041466429787,0
L,300.0,309.3,1473,46.0,35,0,0,0,0,0,0,True,False,9.300000000000011,67758.0,0.031228784792939578,0.0024646812133071517,0.47552990987912647,0.3668819571781509,0.6031828644064534,1.1460525959964203,low,325.5000000000004,0.20347982401586118,0
H,300.0,309.4,1498,38.5,37,0,0,0,0,0,0,False,False,9.399999999999977,57673.0,0.02570093457943925,0.0024646812133071517,0.4081323944475586,0.22743846737784706,0.14915436704167,1.1146328047393732,low,347.79999999999916,0.21111236955209417,0
L,300.1,309.4,1568,39.7,42,0,0,0,0,0,0,True,False,9.299999999999955,62249.600000000006,0.02531887755102041,0.0475288525251692,0.4081323944475586,0.16300330406300376,0.02878041000996999,1.0360833265967555,low,390.5999999999981,0.21152194352312848,0
L,300.1,309.4,1694,27.4,44,0,0,0,0,0,0,True,False,9.299999999999955,46415.6,0.016174734356552537,0.0475288525251692,0.4081323944475586,0.8657984926565353,1.2626134695848927,1.0046635353397084,low,409.199999999998,0.1594314794338958,0
L,300.0,309.4,1499,35.7,46,0,0,0,0,0,0,True,False,9.399999999999977,53514.3,0.023815877251501003,0.0024646812133071517,0.4081323944475586,0.2218607277858349,0.43002693344896914,0.9732437440826615,low,432.39999999999895,0.20145698636268117,0
L,300.0,309.5,1717,28.3,48,0,0,0,0,0,0,True,False,9.5,48591.1,0.016482236458940012,0.0024646812133071517,0.34073487901595245,0.9940865032728148,1.1723330018111178,0.9418239528256144,low,456.0,0.16301278613639353,0
M,300.1,309.5,1462,42.8,50,0,0,0,0,0,0,False,True,9.399999999999977,62573.6,0.029274965800273597,0.0475288525251692,0.34073487901595245,0.4282370926902846,0.2821856456552538,0.9104041615685673,low,469.99999999999886,0.21629783998837043,0
L,300.1,309.6,1642,34.5,53,0,0,0,0,0,0,True,False,9.5,56649.0,0.021010962241169304,0.0475288525251692,0.2733373635843463,0.5757560338719032,0.5504008904806692,0.8632744746829967,low,503.5,0.19318886774310517,0
L,300.1,309.6,1760,25.4,55,0,0,0,0,0,0,True,False,9.5,44704.0,0.014431818181818181,0.0475288525251692,0.2733373635843463,1.2339293057293375,1.4632367313043924,0.8318546834259496,low,522.5,0.14167898807885027,0
L,300.1,309.5,1660,32.7,57,0,0,0,0,0,0,True,False,9.399999999999977,54282.00000000001,0.019698795180722893,0.0475288525251692,0.34073487901595245,0.676155346528122,0.7309618260282186,0.8004348921689025,low,535.7999999999987,0.19012588697258487,0
L,300.1,309.5,1557,40.6,59,0,0,0,0,0,0,True,False,9.399999999999977,63214.200000000004,0.02607578676942839,0.0475288525251692,0.34073487901595245,0.10164816855087007,0.06150005776380468,0.7690151009118555,low,554.5999999999987,0.21118357045274888,0
H,300.2,309.6,1442,49.2,61,0,0,0,0,0,0,False,False,9.400000000000034,70946.40000000001,0.034119278779472954,0.09752238626361714,0.2733373635843463,0.5397918845305277,0.924180083157653,0.7375953096548085,med,573.4000000000021,0.1928209115964678,0
L,300.2,309.6,1359,51.5,66,0,0,0,0,0,0,True,False,9.400000000000034,69988.5,0.03789551140544518,0.09752238626361714,0.2733373635843463,1.0027442706675365,1.1548968341350772,0.6590458315121908,med,620.4000000000023,0.15588607152901407,0
L,300.4,309.8,1342,52.5,68,0,0,0,0,0,0,True,False,9.400000000000034,70455.0,0.039120715350223545,0.19750945374054144,0.13854233272117228,1.0975658437317433,1.255208464994827,0.6276260402551437,med,639.2000000000023,0.14904841336899433,0
L,300.4,309.9,1435,54.8,70,0,0,0,0,0,0,True,False,9.5,78638.0,0.03818815331010453,0.19750945374054144,0.07114481728960442,0.5788360616746128,1.4859252159722514,0.5962062489980966,med,665.0,0.1324214030307574,0
L,300.4,309.9,1567,36.5,72,0,0,0,0,0,0,True,False,9.5,57195.5,0.023292916400765796,0.19750945374054144,0.07114481728960442,0.15742556447099162,0.3497776287611696,0.5647864577410495,med,684.0,0.2108868098169936,0
L,300.4,309.9,1376,43.5,74,0,0,0,0,0,0,True,False,9.5,59856.0,0.031613372093023256,0.19750945374054144,0.07114481728960442,0.9079226976033299,0.35240378725707894,0.5333666664840024,med,703.0,0.20552231398897763,0
H,300.4,309.9,1513,38.7,76,0,0,0,0,0,0,False,False,9.5,58553.100000000006,0.025578321216126902,0.19750945374054144,0.07114481728960442,0.14377237349766472,0.1290920408697198,0.5019468752269554,med,722.0,0.22000505106268936,0
H,300.4,309.9,2563,12.8,81,1,0,0,1,0,0,False,False,9.5,32806.4,0.00499414748341787,0.19750945374054144,0.07114481728960442,5.712854198115098,2.7271632801372396,0.4233973970843377,med,769.5,-0.05119380740934931,1
L,300.5,310.0,1521,45.1,86,0,0,0,0,0,0,True,False,9.5,68597.1,0.029651545036160423,0.2475029874790178,0.003747301857998253,0.0991504567615675,0.5129023966326788,0.34484791894172,med,817.0,0.20825878970264894,0
L,300.6,310.0,1658,34.7,88,0,0,0,0,0,0,True,False,9.399999999999977,57532.600000000006,0.020928829915560918,0.29749652121749415,0.003747301857998253,0.6649998673440977,0.530338564308719,0.313428127684673,med,827.199999999998,0.1905453998999148,0
H,300.6,310.0,1419,42.4,90,0,0,0,0,0,0,False,False,9.399999999999977,60165.6,0.029880197322057787,0.29749652121749415,0.003747301857998253,0.6680798951468072,0.24206099331135403,0.2820083364276259,med,845.999999999998,0.2143529948031322,0
M,300.6,310.0,1478,36.3,95,0,0,0,0,0,0,False,True,9.399999999999977,53651.399999999994,0.024560216508795668,0.29749652121749415,0.003747301857998253,0.33899325921809015,0.36983995493311983,0.2034588582850082,med,892.9999999999978,0.2007548131977891,0
M,300.5,310.0,1415,43.5,98,0,0,0,0,0,0,False,True,9.5,61552.5,0.030742049469964665,0.2475029874790178,0.003747301857998253,0.6903908535148559,0.35240378725707894,0.1563291713994376,med,931.0,0.21887107213137924,0
M,300.5,309.9,1780,26.5,101,0,0,0,0,0,0,False,True,9.399999999999977,47170.0,0.014887640449438203,0.2475029874790178,0.07114481728960442,1.3454840975695805,1.3528939373586675,0.10919948451386699,med,949.3999999999977,0.1624954337743254,0
M,300.4,309.7,1440,42.8,104,0,0,0,0,0,0,False,True,9.300000000000011,61631.99999999999,0.02972222222222222,0.19750945374054144,0.20593984815277844,0.550947363714552,0.2821856456552538,0.06206979762829638,med,967.2000000000012,0.21966118295928805,0
H,300.4,309.8,1448,39.7,107,0,0,0,0,0,0,False,False,9.400000000000034,57485.600000000006,0.027417127071823207,0.19750945374054144,0.13854233272117228,0.5063254469784548,0.02878041000996999,0.01494011074272578,med,1005.8000000000036,0.2142403549820331,0
H,300.4,309.7,1500,35.2,112,0,0,0,0,0,0,False,False,9.300000000000011,52800.00000000001,0.023466666666666667,0.19750945374054144,0.20593984815277844,0.21628298819382274,0.48018274887884405,0.0636093673998919,med,1041.6000000000013,0.1970119156820026,0
L,300.4,309.8,1513,32.9,117,0,0,0,0,0,0,True,False,9.400000000000034,49777.7,0.021744877726371445,0.19750945374054144,0.13854233272117228,0.14377237349766472,0.710899499856269,0.14215884554250957,med,1099.800000000004,0.1891229357903959,0
L,300.5,309.8,1428,43.8,119,0,0,0,0,0,0,True,False,9.300000000000011,62546.399999999994,0.030672268907563024,0.2475029874790178,0.13854233272117228,0.6178802388186979,0.3824972765150036,0.17357863679955665,med,1106.7000000000014,0.21769421493155072,0
M,300.5,309.8,1473,42.3,121,0,0,0,0,0,0,False,True,9.300000000000011,62307.899999999994,0.02871690427698574,0.2475029874790178,0.13854233272117228,0.3668819571781509,0.2320298302253789,0.20499842805660373,med,1125.3000000000013,0.21831791430620684,0
M,300.5,309.9,1483,49.3,124,0,0,0,0,0,0,False,True,9.399999999999977,73111.9,0.0332434254888739,0.2475029874790178,0.07114481728960442,0.3111045612580294,0.9342112462436274,0.25212811494217435,med,1165.5999999999972,0.17544453758838285,0
L,300.4,309.7,1534,42.5,127,0,0,0,0,0,0,True,False,9.300000000000011,65195.0,0.02770534550195567,0.19750945374054144,0.20593984815277844,0.026639842065409487,0.2520921563973291,0.2992578018277449,med,1181.1000000000015,0.21441361161164263,0
L,300.5,309.8,1367,54.0,129,0,0,0,0,0,0,True,False,9.300000000000011,73818.0,0.03950256035113387,0.2475029874790178,0.13854233272117228,0.9581223539314393,1.4056759112844517,0.330677593084792,med,1199.7000000000014,0.16042325928920526,0
L,300.4,309.7,1467,36.9,131,0,0,0,0,0,0,True,False,9.300000000000011,54132.299999999996,0.025153374233128835,0.19750945374054144,0.20593984815277844,0.4003483947302238,0.30965297641726985,0.3620973843418391,med,1218.3000000000015,0.20973323242043262,0
M,300.4,309.7,1488,42.2,133,0,0,0,0,0,0,False,True,9.300000000000011,62793.600000000006,0.028360215053763443,0.19750945374054144,0.20593984815277844,0.2832158632979686,0.2219986671394045,0.39351717559888616,med,1236.9000000000015,0.22050243193771202,0
L,300.4,309.7,1679,30.1,136,0,0,0,0,0,0,True,False,9.300000000000011,50537.9,0.01792733770101251,0.19750945374054144,0.20593984815277844,0.7821323987763529,0.9917720662635682,0.4406468624844568,med,1264.8000000000015,0.19030689654302957,0
H,300.4,309.8,1409,47.5,138,0,0,0,0,0,0,False,False,9.400000000000034,66927.5,0.033711852377572744,0.19750945374054144,0.13854233272117228,0.7238572910669289,0.7536503106960781,0.4720666537415038,med,1297.2000000000048,0.20443019999850304,0
M,300.4,309.7,1367,51.2,143,0,0,0,0,0,0,False,True,9.300000000000011,69990.40000000001,0.03745427944403804,0.19750945374054144,0.20593984815277844,0.9581223539314393,1.1248033448771526,0.5506161318841215,high,1329.9000000000017,0.17370035999494454,0
L,300.4,309.8,1314,63.1,146,0,0,0,0,0,0,True,False,9.400000000000034,82913.40000000001,0.04802130898021309,0.19750945374054144,0.13854233272117228,1.2537425523080834,2.318511752108175,0.5977458187696921,high,1372.400000000005,0.04039232335170473,0
L,300.5,309.9,1480,40.0,148,0,0,0,0,0,0,True,False,9.399999999999977,59200.0,0.02702702702702703,0.2475029874790178,0.07114481728960442,0.32783778003406583,0.001313079247954664,0.6291656100267392,high,1391.1999999999966,0.21596409184761256,0
L,300.4,309.8,1549,38.9,150,0,0,0,0,0,0,True,False,9.400000000000034,60256.1,0.02511297611362169,0.19750945374054144,0.13854233272117228,0.05702625181477283,0.10902971469777024,0.6605854012837863,high,1410.000000000005,0.2153417349880038,0
L,300.4,309.7,1685,31.3,152,0,0,0,0,0,0,True,False,9.300000000000011,52740.5,0.01857566765578635,0.19750945374054144,0.20593984815277844,0.8155988363284259,0.8713981092318684,0.6920051925408334,high,1413.6000000000017,0.1818215720908694,0
L,300.4,309.6,1536,34.5,154,0,0,0,0,0,0,True,False,9.200000000000045,52992.0,0.0224609375,0.19750945374054144,0.2733373635843463,0.015484362881385178,0.5504008904806692,0.7234249837978804,high,1416.800000000007,0.19454538349873868,0
M,300.4,309.7,1539,37.7,156,0,0,0,0,0,0,False,True,9.300000000000011,58020.3,0.024496426250812216,0.19750945374054144,0.20593984815277844,0.001248855894651286,0.22940367172946957,0.7548447750549274,high,1450.8000000000018,0.21297359621983264,0
L,300.4,309.7,1384,45.1,159,0,0,0,0,0,0,True,False,9.300000000000011,62418.4,0.03258670520231214,0.19750945374054144,0.20593984815277844,0.8633007808672327,0.5129023966326788,0.801974461940498,high,1478.7000000000019,0.19762305465462288,0
M,300.4,309.6,1614,30.3,161,0,0,0,0,0,0,False,True,9.200000000000045,48904.200000000004,0.018773234200743494,0.19750945374054144,0.2733373635843463,0.41957932529556285,0.9717097400916183,0.8333942531975451,high,1481.2000000000073,0.18708465789002743,0
M,300.4,309.6,1675,35.5,164,0,0,0,0,0,0,False,True,9.200000000000045,59462.5,0.021194029850746268,0.19750945374054144,0.2733373635843463,0.7598214404083043,0.4500892596209194,0.8805239400831157,high,1508.8000000000075,0.17558381932087752,0
M,300.4,309.7,1685,32.3,167,0,0,0,0,0,0,False,True,9.300000000000011,54425.49999999999,0.019169139465875368,0.19750945374054144,0.20593984815277844,0.8155988363284259,0.771086478372119,0.9276536269686864,high,1553.100000000002,0.17880626025789542,0
L,300.4,309.6,1386,56.9,170,0,0,0,0,0,0,True,False,9.200000000000045,78863.4,0.04105339105339105,0.19750945374054144,0.2733373635843463,0.8521453016832083,1.696579640777726,0.974783313854257,high,1564.0000000000077,0.11305681190305716,0
M,300.3,309.6,1488,41.3,172,0,0,0,0,0,0,False,True,9.300000000000011,61454.399999999994,0.02775537634408602,0.14751592000209351,0.2733373635843463,0.2832158632979686,0.13171819936562912,1.006203105111304,high,1599.600000000002,0.20720614207585386,0
L,300.3,309.6,1624,32.6,175,0,0,0,0,0,0,True,False,9.300000000000011,52942.4,0.020073891625615764,0.14751592000209351,0.2733373635843463,0.47535672121568445,0.7409929891141936,1.0533327919968747,high,1627.500000000002,0.18294199742104483,0
L,300.3,309.6,1600,34.6,177,0,0,0,0,0,0,True,False,9.300000000000011,55360.0,0.021625000000000002,0.14751592000209351,0.2733373635843463,0.34149097100739273,0.540369727394694,1.0847525832539218,high,1646.100000000002,0.1922336392003629,0
L,300.3,309.6,1468,44.7,179,0,0,0,0,0,0,True,False,9.300000000000011,65619.6,0.030449591280653953,0.14751592000209351,0.2733373635843463,0.3947706551382117,0.47277774428877894,1.1161723745109688,high,1664.700000000002,0.2014057969872387,0
L,300.3,309.6,1435,45.4,181,0,0,0,0,0,0,True,False,9.300000000000011,65149.0,0.0316376306620209,0.14751592000209351,0.2733373635843463,0.5788360616746128,0.5429958858906034,1.147592165768016,high,1683.300000000002,0.20193620754473157,0
M,300.2,309.5,1564,33.4,183,0,0,0,0,0,0,False,True,9.300000000000011,52237.6,0.02135549872122762,0.09752238626361714,0.34073487901595245,0.14069234569495515,0.6607436844263941,1.179011957025063,high,1701.9000000000021,0.18684742788524067,0
M,300.2,309.4,1329,53.6,186,0,0,0,0,0,0,False,True,9.199999999999989,71234.40000000001,0.04033107599699022,0.09752238626361714,0.4081323944475586,1.170076458427901,1.3655512589405518,1.2261416439106336,high,1711.199999999998,0.1270056635919366,0
L,300.1,309.3,1570,36.8,189,0,0,0,0,0,0,True,False,9.199999999999989,57775.99999999999,0.02343949044585987,0.0475288525251692,0.47552990987912647,0.17415878324702808,0.3196841395032449,1.2732713307962042,high,1738.799999999998,0.1962668059808867,0
M,300.2,309.4,1433,48.8,191,0,0,0,0,0,0,False,True,9.199999999999989,69930.4,0.03405443126308444,0.09752238626361714,0.4081323944475586,0.5899915408586371,0.8840554308137525,1.3046911220532513,high,1757.1999999999978,0.1802687821558807,0
L,300.2,309.4,1527,37.0,194,0,0,0,0,0,0,True,False,9.199999999999989,56499.0,0.024230517354289455,0.09752238626361714,0.4081323944475586,0.06568401920949457,0.29962181333129473,1.3518208089388217,high,1784.799999999998,0.2010966537387225,0
M,300.1,309.3,1443,50.3,196,0,0,0,0,0,0,False,True,9.199999999999989,72582.9,0.034857934857934855,0.0475288525251692,0.47552990987912647,0.5342141449385156,1.0345228771033772,1.3832406001958688,high,1803.1999999999978,0.15935280882022418,0
L,300.1,309.3,1616,32.0,199,0,0,0,0,0,0,True,False,9.199999999999989,51712.0,0.019801980198019802,0.0475288525251692,0.47552990987912647,0.4307348044795872,0.8011799676300436,1.4303702870814394,high,1830.7999999999977,0.17806133298578392,0
L,300.1,309.3,1654,31.0,201,0,0,0,0,0,0,True,False,9.199999999999989,51274.0,0.018742442563482467,0.0475288525251692,0.47552990987912647,0.642688908976049,0.9014915984897934,1.4617900783384865,high,1849.1999999999978,0.1673770764344703,0
L,300.1,309.3,1685,27.1,203,0,0,0,0,0,0,True,False,9.199999999999989,45663.5,0.016083086053412465,0.0475288525251692,0.47552990987912647,0.8155988363284259,1.2927069588428175,1.4932098695955336,high,1867.5999999999976,0.13885719771798316,0
M,300.2,309.4,1456,48.8,205,0,0,0,0,0,0,False,True,9.199999999999989,71052.8,0.033516483516483515,0.09752238626361714,0.4081323944475586,0.46170353024235755,0.8840554308137525,1.5246296608525807,high,1885.9999999999977,0.17048917218854565,0
M,300.2,309.4,1752,27.8,208,0,0,0,0,0,0,False,True,9.199999999999989,48705.6,0.0158675799086758,0.09752238626361714,0.4081323944475586,1.1893073889932402,1.2224888172409927,1.5717593477381513,high,1913.5999999999976,0.14325650219706354,0
M,300.1,309.2,1438,51.0,211,0,0,0,0,0,0,False,True,9.099999999999966,73338.0,0.03546592489568846,0.0475288525251692,0.5429274253107327,0.5621028428985764,1.1047410187052022,1.618889034623722,high,1920.0999999999929,0.14230381490397842,0
